case_id,activity,timestamp,resource
1,Invoice Received,2026-04-17T07:20:27.670Z,grpc-service
1,Invoice Stored,2026-04-17T07:20:27.673Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:20:27.686Z,grpc-service
1,Duplicate Invoice Attempt,2026-04-17T07:20:30.542Z,grpc-service
1,Invoice Received,2026-04-17T07:22:48.532Z,grpc-service
1,Invoice Stored,2026-04-17T07:22:48.534Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:22:48.545Z,grpc-service
1,Duplicate Invoice Attempt,2026-04-17T07:22:50.130Z,grpc-service
2,Invoice Received,2026-04-17T07:27:33.266Z,grpc-service
2,Invoice Stored,2026-04-17T07:27:33.267Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:27:33.276Z,grpc-service
2,Invoice Received,2026-04-17T07:34:57.275Z,grpc-service
2,Invoice Stored,2026-04-17T07:34:57.278Z,grpc-service
1,Invoice Not Found,2026-04-17T07:34:57.287Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:35:15.950Z,grpc-service
2,Invoice Received,2026-04-17T07:40:21.459Z,grpc-service
2,Invoice Stored,2026-04-17T07:40:21.461Z,grpc-service
1,Invoice Not Found,2026-04-17T07:40:21.470Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:40:25.065Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:42:02.872Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:42:19.987Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:42:19.993Z,grpc-service
2,Invoice Received,2026-04-17T07:46:54.954Z,grpc-service
2,Invoice Stored,2026-04-17T07:46:54.957Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:46:54.968Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:46:59.432Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:46:59.438Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:47:05.231Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:47:07.162Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:49:26.556Z,grpc-service
2,Invoice Received,2026-04-17T07:50:49.048Z,grpc-service
2,Invoice Stored,2026-04-17T07:50:49.051Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:50:49.060Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:50:50.351Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:50:50.357Z,grpc-service
2,Invoice Received,2026-04-26T10:40:07.535Z,grpc-service
2,Invoice Stored,2026-04-26T10:40:07.537Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:40:07.557Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-26T10:40:08.704Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:40:08.714Z,grpc-service
2,Invoice Received,2026-04-26T10:43:48.722Z,grpc-service
2,Invoice Stored,2026-04-26T10:43:48.727Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:43:48.760Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-26T10:43:53.841Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:43:53.864Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-26T10:44:00.015Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:44:00.036Z,grpc-service
1,Invoice Not Found,2026-04-26T10:44:03.866Z,grpc-service
1,Invoice Not Found,2026-04-26T10:44:05.730Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-26T10:44:09.295Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:44:09.318Z,grpc-service
2,Invoice Received,2026-04-26T10:45:36.121Z,grpc-service
2,Invoice Stored,2026-04-26T10:45:36.123Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:45:36.157Z,grpc-service
2,Invoice Retrieved,2026-04-26T10:45:38.349Z,grpc-service
WF-1001,Invoice Received,2026-04-26T10:51:28.347Z,grpc-service
WF-1001,Invoice Stored,2026-04-26T10:51:28.349Z,grpc-service
WF-1001,Invoice Retrieved,2026-04-26T10:51:28.406Z,grpc-service
2,Invoice Received,2026-04-26T11:36:51.573Z,grpc-service
2,Invoice Stored,2026-04-26T11:36:51.575Z,grpc-service
2,Invoice Retrieved,2026-04-26T11:36:51.659Z,grpc-service
2,Invoice Retrieved,2026-04-26T11:37:06.333Z,grpc-service
WF-1001,Invoice Received,2026-04-26T11:37:11.159Z,grpc-service
WF-1001,Invoice Stored,2026-04-26T11:37:11.161Z,grpc-service
WF-1001,Invoice Retrieved,2026-04-26T11:37:11.209Z,grpc-service
INV-1780415165003,Invoice Received,2026-06-02T15:48:20.452Z,grpc-service
INV-1780415165003,Invoice Stored,2026-06-02T15:48:20.474Z,grpc-service
INV-1780476205721,Invoice Received,2026-06-03T08:49:10.050Z,grpc-service
INV-1780476205721,Invoice Stored,2026-06-03T08:49:10.056Z,grpc-service
INV-1780477612052,Invoice Received,2026-06-03T09:08:19.419Z,grpc-service
INV-1780477612052,Invoice Stored,2026-06-03T09:08:19.434Z,grpc-service
INV-1780482539516,Invoice Received,2026-06-03T10:32:26.009Z,grpc-service
INV-1780482539516,Invoice Stored,2026-06-03T10:32:26.028Z,grpc-service
INV-1780486527023,Invoice Received,2026-06-03T11:36:17.022Z,grpc-service
INV-1780486527023,Invoice Stored,2026-06-03T11:36:17.032Z,grpc-service
INV-1780486801603,Invoice Received,2026-06-03T11:40:39.852Z,grpc-service
INV-1780486801603,Invoice Stored,2026-06-03T11:40:39.853Z,grpc-service
INV-1780559499691,Invoice Received,2026-06-04T07:52:38.313Z,grpc-service
INV-1780559499691,Invoice Stored,2026-06-04T07:52:38.326Z,grpc-service
INV-1780939873968,Invoice Received,2026-06-08T17:32:12.663Z,grpc-service
INV-1780939873968,Invoice Stored,2026-06-08T17:32:12.679Z,grpc-service
INV-1780940468150,Invoice Received,2026-06-08T17:41:48.116Z,grpc-service
INV-1780940468150,Invoice Stored,2026-06-08T17:41:48.128Z,grpc-service
