case_id,activity,timestamp,resource
1,Invoice Received,2026-04-17T07:20:27.670Z,grpc-service
1,Invoice Stored,2026-04-17T07:20:27.673Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:20:27.686Z,grpc-service
1,Duplicate Invoice Attempt,2026-04-17T07:20:30.542Z,grpc-service
1,Invoice Received,2026-04-17T07:22:48.532Z,grpc-service
1,Invoice Stored,2026-04-17T07:22:48.534Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:22:48.545Z,grpc-service
1,Duplicate Invoice Attempt,2026-04-17T07:22:50.130Z,grpc-service
2,Invoice Received,2026-04-17T07:27:33.266Z,grpc-service
2,Invoice Stored,2026-04-17T07:27:33.267Z,grpc-service
1,Invoice Retrieved,2026-04-17T07:27:33.276Z,grpc-service
2,Invoice Received,2026-04-17T07:34:57.275Z,grpc-service
2,Invoice Stored,2026-04-17T07:34:57.278Z,grpc-service
1,Invoice Not Found,2026-04-17T07:34:57.287Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:35:15.950Z,grpc-service
2,Invoice Received,2026-04-17T07:40:21.459Z,grpc-service
2,Invoice Stored,2026-04-17T07:40:21.461Z,grpc-service
1,Invoice Not Found,2026-04-17T07:40:21.470Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:40:25.065Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:42:02.872Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:42:19.987Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:42:19.993Z,grpc-service
2,Invoice Received,2026-04-17T07:46:54.954Z,grpc-service
2,Invoice Stored,2026-04-17T07:46:54.957Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:46:54.968Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:46:59.432Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:46:59.438Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:47:05.231Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:47:07.162Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:49:26.556Z,grpc-service
2,Invoice Received,2026-04-17T07:50:49.048Z,grpc-service
2,Invoice Stored,2026-04-17T07:50:49.051Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:50:49.060Z,grpc-service
2,Duplicate Invoice Attempt,2026-04-17T07:50:50.351Z,grpc-service
2,Invoice Retrieved,2026-04-17T07:50:50.357Z,grpc-service
